经营活动产生的现金流量,销售商品、提供劳务收到的现金,+,营业收入贷方
,,+,应收票据贷方
,,-,应收票据借方
,,+,应收账款贷方
,,-,应收账款借方
,,+,预收账款贷方
,,-,预收账款借方
,,+,应交税费/应交增值税销项税额贷方
,收到的税费返还,待定,待定
,收到其他与经营活动有关的现金,+,其他应收款贷方
,,+,其他应付款贷方
,,+,其他流动资产贷方
,,+,递延收益贷方
,,-,递延收益借方
,,+,其他收益贷方
,,+,营业外收入贷方
,,+,财务费用/利息收入贷方
,,-,应收利息借方
,,+,应收利息贷方
,购买商品、接受劳务支付的现金,+,营业成本借方
,,-,投资性房地产贷方
,,+,存货借方
,,-,存货贷方
,,+,预付账款借方
,,-,预付账款贷方
,,+,应付票据借方
,,-,应付付票据贷方
,,+,应付账款借方
,,-,应付付账款贷方
,,+,应交税费/应交税金进项税额借方
,,-,营业成本/累计摊销借方
,,-,营业成本/长期待摊费用摊销借方
,,-,营业成本/存货中职工薪酬借方
,支付给职工以及为职工支付的现金,+,应付职工薪酬借方
,,+,应交税费/个人所得税借方
,,-,应交税费/个人所得税贷方
,,+,长期应付职工薪酬借方
,,-,其他综合收益贷方
,支付的各项税费,+,应交税费/应交增值税/已交税金借方
,,+,其他税金借方
,,-,其他税金/增值税借方
,,-,其他税金/个人所得税借方
,,-,其他税金贷方
,,+,其他税金/增值税贷方
,,+,其他税金/个人所得税贷方
,,+,税金及附加借方
,,+,所得税费用借方
,,+,递延所得税资产借方
,,-,递延所得税资产贷方
,,+,递延所得税负债借方
,,-,递延所得税负债贷方
,,+,应交税费/应交增值税销项税额借方
,,-,应交税费/应交税金进项税额贷方
,,-,应交税费/应交增值税/已交税金贷方
,支付其他与经营活动有关的现金,+,其他应收款借方
,,+,其他应付款借方
,,+,其他流动资产借方
,,+,销售费用借方
,,+,管理费用借方
,,+,研发费用借方
,,+,财务费用/手续费借方
,,+,营业外支出借方
,,-,销售费用借方
,,-,管理费用借方
,,-,研发费用中累计折旧借方
,,-,累计摊销借方
,,-,长期待摊费用摊销借方
,,-,研发费用中职工薪酬借方
,,-,长期应付职工薪酬借方
投资活动产生的现金流量,收回投资收到的现金,+,交易性金融资产贷方
,,+,以公允价值计量且其变动计入当期损益的金融资产贷方
,,+,债权投资贷方
,,+,可供出售金融资产贷方
,,+,其他债权投资贷方
,,+,持有至到期投资贷方
,,+,长期股权投资贷方
,,+,其他权益工具投资贷方
,处置子公司及其他营业单位收回的现金净额,,
,取得投资收益收到的现金,+,投资收益贷方
,,+,应收股利贷方
,,-,应收股利借方
,处置固定资产、无形资产和其他长期资产收回的现金净额,+,固定资产贷方
,,-,累计折旧借方
,,+,无形资产贷方
,,-,累计摊销借方
,,+,资产处置收益贷方
,收到其他与投资活动有关的现金,,
,购建固定资产、无形资产和其他长期资产所支付的现金,+,投资性房地产借方
,,+,固定资产借方
,,-,长期应付款贷方
,,+,长期应付款借方
,,+,在建工程借方
,,-,在建工程贷方
,,+,无形资产借方
,,+,开发支出借方
,,-,开发支出贷方
,,+,长期待摊费用借方
,投资支付的现金,+,交易性金融资产借方
,,+,以公允价值计量且其变动计入当期损益的金融资产借方
,,+,债权投资借方
,,+,可供出售金融资产借方
,,+,其他债权投资借方
,,+,持有至到期投资借方
,,+,长期股权投资借方
,,+,其他权益工具投资借方
,,-,公允价值变动损益贷方
,取得子公司及其他营业单位支付的现金净额,待定,待定
,支付其他与投资活动有关的现金,待定,待定
筹资活动产生的现金流量,吸收投资收到的现金,+,实收资本贷方
,,+,资本公积贷方
,取得借款所收到的现金,+,短期借款贷方
,,+,长期借款贷方
,,+,应付债券贷方
,收到其他与筹资活动有关的现金,待定,待定
,偿还债务所支付的现金,+,短期借款借方
,,+,长期借款借方
,,+,应付债券借方
,分配股利、利润或偿付利息所支付的现金,+,财务费用借方
,分配股利、利润或偿付利息所支付的现金,-,利息支出借方
,,+,应付利息借方
,,-,应付利息贷方
,,+,应付股利借方
,,-,应付股利贷方
,支付其他与筹资活动有关的现金,待定,待定
汇率变动对现金及现金等价物的影响,待定,待定,待定
现金及现金等价物净增加额,现金及现金等价物净增加额,+,现金、银行存款、其他货币资金借方
,,-,现金、银行存款、其他货币资金贷方
,加期初现金及现金等价物余额,+,现金、银行存款、其他货币资金期初
期末现金及现金等价物余额,待定,待定,待定